                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.00162,                    0.6,                      1,                  1.346,             0.00035933,             0.00035933,             0.00035933
                     97,                0.00152,                    0.6,                      1,                  1.346,             0.00035972,             0.00035972,             0.00035972
                     98,                0.00152,                    0.6,                      1,                  1.346,             0.00036004,             0.00036004,             0.00036004
                     99,                0.00152,                    0.6,                      1,                  1.346,             0.00036029,             0.00036029,             0.00036029
                    100,                0.00152,                    0.6,                      1,                 1.3444,             0.00036046,             0.00036046,             0.00036046
                    101,                0.00143,                    0.6,                      1,                 1.3444,             0.00036057,             0.00036057,             0.00036057
                    102,                0.00143,                    0.6,                      1,                 1.3444,             0.00036057,             0.00036057,             0.00036057
                    103,                0.00143,                    0.6,                      1,                 1.3444,             0.00035704,             0.00035704,             0.00035704
                    104,                0.00143,                    0.6,                      1,                 1.3429,              0.0003535,              0.0003535,              0.0003535
                    105,                0.00135,                    0.6,                      1,                 1.3429,             0.00034997,             0.00034997,             0.00034997
                    106,                0.00135,                    0.6,                      1,                 1.3429,             0.00034643,             0.00034643,             0.00034643
                    107,                0.00135,                    0.6,                      1,                 1.3429,              0.0003429,              0.0003429,              0.0003429
                    108,                0.00135,                    0.6,                      1,                 1.3416,             0.00033936,             0.00033936,             0.00033936
                    109,                0.00129,                    0.6,                      1,                 1.3416,             0.00033583,             0.00033583,             0.00033583
                    110,                0.00129,                    0.6,                      1,                 1.3416,              0.0003323,              0.0003323,              0.0003323
                    111,                0.00129,                    0.6,                      1,                 1.3416,             0.00032876,             0.00032876,             0.00032876
                    112,                0.00129,                    0.6,                      1,                 1.3405,             0.00032523,             0.00032523,             0.00032523
                    113,                0.00123,                    0.6,                      1,                 1.3405,             0.00032169,             0.00032169,             0.00032169
                    114,                0.00123,                    0.6,                      1,                 1.3405,             0.00031816,             0.00031816,             0.00031816
                    115,                0.00123,                    0.6,                      1,                 1.3405,             0.00031462,             0.00031462,             0.00031462
                    116,                0.00123,                    0.6,                      1,                 1.3396,             0.00031109,             0.00031109,             0.00031109
                    117,                0.00118,                    0.6,                      1,                 1.3396,             0.00030756,             0.00030756,             0.00030756
                    118,                0.00118,                    0.6,                      1,                 1.3396,             0.00030402,             0.00030402,             0.00030402
                    119,                0.00118,                    0.6,                      1,                 1.3396,             0.00030049,             0.00030049,             0.00030049
                    120,                0.00118,                    0.6,                      1,                 1.3387,             0.00029695,             0.00029695,             0.00029695
                    121,                0.00114,                    0.6,                      1,                 1.3387,             0.00029342,             0.00029342,             0.00029342
                    122,                0.00114,                    0.6,                      1,                 1.3387,             0.00028988,             0.00028988,             0.00028988
                    123,                0.00114,                    0.6,                      1,                 1.3387,             0.00028635,             0.00028635,             0.00028635
                    124,                0.00114,                    0.6,                      1,                  1.338,             0.00028282,             0.00028282,             0.00028282
                    125,                 0.0011,                    0.6,                      1,                  1.338,             0.00027928,             0.00027928,             0.00027928
                    126,                 0.0011,                    0.6,                      1,                  1.338,             0.00027575,             0.00027575,             0.00027575
                    127,                 0.0011,                    0.6,                      1,                  1.338,             0.00027221,             0.00027221,             0.00027221
                    128,                 0.0011,                    0.6,                      1,                 1.3374,             0.00026868,             0.00026868,             0.00026868
                    129,                0.00107,                    0.6,                      1,                 1.3374,             0.00026514,             0.00026514,             0.00026514
                    130,                0.00107,                    0.6,                      1,                 1.3374,             0.00026161,             0.00026161,             0.00026161
                    131,                0.00107,                    0.6,                      1,                 1.3374,             0.00025808,             0.00025808,             0.00025808
                    132,                0.00107,                    0.6,                      1,                 1.3369,             0.00025454,             0.00025454,             0.00025454
                    133,                0.00104,                    0.6,                      1,                 1.3369,             0.00025101,             0.00025101,             0.00025101
                    134,                0.00104,                    0.6,                      1,                 1.3369,             0.00024747,             0.00024747,             0.00024747
                    135,                0.00104,                    0.6,                      1,                 1.3369,             0.00024394,             0.00024394,             0.00024394
                    136,                0.00104,                    0.6,                      1,                 1.3364,              0.0002404,              0.0002404,              0.0002404
                    137,                0.00102,                    0.6,                      1,                 1.3364,             0.00023687,             0.00023687,             0.00023687
                    138,                0.00102,                    0.6,                      1,                 1.3364,             0.00023334,             0.00023334,             0.00023334
                    139,                0.00102,                    0.6,                      1,                 1.3364,              0.0002298,              0.0002298,              0.0002298
                    140,                0.00102,                    0.6,                      1,                  1.336,             0.00022627,             0.00022627,             0.00022627
                    141,                  0.001,                    0.6,                      1,                  1.336,             0.00022273,             0.00022273,             0.00022273
                    142,                  0.001,                    0.6,                      1,                  1.336,              0.0002192,              0.0002192,              0.0002192
                    143,                  0.001,                    0.6,                      1,                  1.336,             0.00021566,             0.00021566,             0.00021566
                    144,                  0.001,                    0.6,                      1,                 1.3357,             0.00021213,             0.00021213,             0.00021213
                    145,                0.00098,                    0.6,                      1,                 1.3357,              0.0002086,              0.0002086,              0.0002086
                    146,                0.00098,                    0.6,                      1,                 1.3357,             0.00020506,             0.00020506,             0.00020506
                    147,                0.00098,                    0.6,                      1,                 1.3357,             0.00020153,             0.00020153,             0.00020153
                    148,                0.00098,                    0.6,                      1,                 1.3354,             0.00019799,             0.00019799,             0.00019799
                    149,                0.00097,                    0.6,                      1,                 1.3354,             0.00019446,             0.00019446,             0.00019446
                    150,                0.00097,                    0.6,                      1,                 1.3354,             0.00019092,             0.00019092,             0.00019092
                    151,                0.00097,                    0.6,                      1,                 1.3354,             0.00018739,             0.00018739,             0.00018739
                    152,                0.00097,                    0.7,                      1,                 1.3351,             0.00018385,             0.00018385,             0.00018385
                    153,                0.00095,                    0.7,                      1,                 1.3351,             0.00018032,             0.00018032,             0.00018032
                    154,                0.00095,                    0.7,                      1,                 1.3351,             0.00017679,             0.00017679,             0.00017679
                    155,                0.00095,                    0.7,                      1,                 1.3351,             0.00017325,             0.00017325,             0.00017325
                    156,                0.00095,                    0.7,                      1,                 1.3349,             0.00016972,             0.00016972,             0.00016972
                    157,                0.00094,                    0.7,                      1,                 1.3349,             0.00016618,             0.00016618,             0.00016618
                    158,                0.00094,                    0.7,                      1,                 1.3349,             0.00016265,             0.00016265,             0.00016265
                    159,                0.00094,                    0.7,                      1,                 1.3349,             0.00015911,             0.00015911,             0.00015911
                    160,                0.00094,                    0.7,                      1,                 1.3348,             0.00015558,             0.00015558,             0.00015558
                    161,                0.00093,                    0.7,                      1,                 1.3348,             0.00015205,             0.00015205,             0.00015205
                    162,                0.00093,                    0.7,                      1,                 1.3348,             0.00014851,             0.00014851,             0.00014851
                    163,                0.00093,                    0.7,                      1,                 1.3348,             0.00014498,             0.00014498,             0.00014498
                    164,                0.00093,                    0.7,                      1,                 1.3346,             0.00014144,             0.00014144,             0.00014144
                    165,                0.00092,                    0.7,                      1,                 1.3346,             0.00013791,             0.00013791,             0.00013791
                    166,                0.00092,                    0.7,                      1,                 1.3346,             0.00013437,             0.00013437,             0.00013437
                    167,                0.00092,                    0.7,                      1,                 1.3346,             0.00013084,             0.00013084,             0.00013084
                    168,                0.00092,                    0.7,                      1,                 1.3345,             0.00012731,             0.00012731,             0.00012731
                    169,                0.00092,                    0.7,                      1,                 1.3345,             0.00012377,             0.00012377,             0.00012377
